0	-0.964893	-0.248304	-0.0855998	-0.435534	-0.244867	0.968332	-0.0487134	-0.0561602	0.0949848	-0.0260426	-0.995138	-0.0392294	
0.002	-0.964893	-0.248304	-0.0855998	-0.435534	-0.244867	0.968332	-0.0487134	-0.0561602	0.0949848	-0.0260426	-0.995138	-0.0392294	
0.004	-0.964893	-0.248304	-0.0855998	-0.435534	-0.244867	0.968332	-0.0487134	-0.0561602	0.0949848	-0.0260426	-0.995138	-0.0392294	
0.006	-0.9649	-0.248276	-0.085596	-0.435534	-0.244843	0.96834	-0.0486712	-0.0561263	0.0949699	-0.0260053	-0.99514	-0.0392318	
0.008	-0.964942	-0.248113	-0.0855978	-0.435543	-0.244699	0.968387	-0.048469	-0.0559556	0.0949176	-0.0258241	-0.99515	-0.0392419	
0.01	-0.96499	-0.247922	-0.085613	-0.435558	-0.244531	0.968442	-0.0482145	-0.0557446	0.0948647	-0.0255914	-0.995161	-0.0392542	
0.012	-0.965023	-0.247783	-0.0856356	-0.435576	-0.244415	0.968484	-0.0479622	-0.0555464	0.0948209	-0.025354	-0.995171	-0.0392652	
0.014	-0.965036	-0.247726	-0.0856575	-0.435592	-0.24438	0.968504	-0.0477271	-0.0553768	0.0947829	-0.0251253	-0.995181	-0.0392751	
0.016	-0.965031	-0.24774	-0.0856765	-0.435604	-0.244414	0.968506	-0.0475072	-0.0552323	0.0947476	-0.0249053	-0.99519	-0.0392844	
0.018	-0.965016	-0.247791	-0.0856963	-0.435615	-0.244487	0.968499	-0.0472818	-0.0550922	0.0947128	-0.024676	-0.995199	-0.0392937	
0.02	-0.964998	-0.247855	-0.0857183	-0.435627	-0.244574	0.968489	-0.0470333	-0.0549393	0.0946746	-0.0244225	-0.995209	-0.0393039	
0.022	-0.964981	-0.247909	-0.085745	-0.435643	-0.244655	0.968483	-0.0467447	-0.0547588	0.0946309	-0.0241298	-0.99522	-0.0393156	
0.024	-0.964971	-0.247938	-0.0857762	-0.435662	-0.244716	0.968484	-0.0464058	-0.0545433	0.0945786	-0.0237895	-0.995233	-0.0393294	
0.026	-0.964969	-0.247936	-0.0858098	-0.435683	-0.24475	0.968494	-0.0460185	-0.0542938	0.0945159	-0.0234045	-0.995248	-0.0393454	
0.028	-0.964973	-0.247906	-0.0858463	-0.435707	-0.244759	0.968511	-0.0455922	-0.0540174	0.0944458	-0.0229836	-0.995265	-0.0393628	
0.03	-0.964979	-0.247869	-0.0858815	-0.435731	-0.244764	0.968531	-0.0451429	-0.0537271	0.0943684	-0.0225412	-0.995282	-0.0393822	
0.032	-0.96499	-0.247817	-0.0859171	-0.435755	-0.244754	0.968555	-0.0446889	-0.053433	0.0942901	-0.0220958	-0.9953	-0.0394013	
0.034	-0.964998	-0.247771	-0.0859534	-0.435778	-0.244749	0.968576	-0.0442445	-0.0531466	0.094215	-0.0216588	-0.995316	-0.0394199	
0.036	-0.965007	-0.247726	-0.0859877	-0.435801	-0.244743	0.968597	-0.043817	-0.0528715	0.094142	-0.0212388	-0.995332	-0.0394372	
0.038	-0.965018	-0.247671	-0.0860172	-0.435821	-0.244726	0.96862	-0.0434094	-0.052608	0.0940693	-0.0208402	-0.995347	-0.0394544	
0.04	-0.965029	-0.247619	-0.0860467	-0.435841	-0.24471	0.968641	-0.0430198	-0.052356	0.0940009	-0.0204588	-0.995362	-0.0394706	
0.042	-0.965045	-0.247545	-0.0860763	-0.435861	-0.244671	0.968668	-0.0426362	-0.0521033	0.0939338	-0.0200855	-0.995376	-0.039486	
0.044	-0.965072	-0.247431	-0.0861048	-0.435882	-0.244593	0.968705	-0.0422534	-0.0518438	0.0938649	-0.0197169	-0.99539	-0.0395015	
0.046	-0.96511	-0.247274	-0.0861317	-0.435903	-0.244471	0.968752	-0.0418635	-0.0515712	0.093792	-0.0193462	-0.995404	-0.039518	
0.048	-0.96516	-0.24707	-0.0861587	-0.435925	-0.244303	0.968812	-0.0414691	-0.0512877	0.0937173	-0.0189755	-0.995418	-0.0395343	
0.05	-0.965219	-0.246828	-0.0861818	-0.435947	-0.244097	0.968881	-0.0410739	-0.0509976	0.0936381	-0.0186085	-0.995432	-0.0395519	
0.052	-0.965285	-0.246562	-0.0862073	-0.435969	-0.243866	0.968955	-0.0406866	-0.0507096	0.0935628	-0.0182512	-0.995446	-0.0395686	
0.054	-0.965354	-0.246285	-0.086227	-0.435989	-0.243622	0.969032	-0.0403207	-0.0504357	0.0934871	-0.017917	-0.995459	-0.0395847	
0.056	-0.965423	-0.246008	-0.0862423	-0.436006	-0.243375	0.969108	-0.039983	-0.0501825	0.0934142	-0.0176113	-0.995472	-0.0396004	
0.058	-0.965491	-0.245737	-0.0862561	-0.436022	-0.243132	0.969181	-0.0396767	-0.0499514	0.0933479	-0.0173359	-0.995483	-0.0396142	
0.06	-0.965553	-0.24549	-0.0862658	-0.436035	-0.242909	0.969248	-0.0394056	-0.0497491	0.0932867	-0.0170934	-0.995493	-0.0396272	
0.062	-0.965608	-0.245271	-0.0862734	-0.436045	-0.242711	0.969308	-0.0391655	-0.0495729	0.0932316	-0.016879	-0.995501	-0.0396387	
0.064	-0.965659	-0.245069	-0.0862768	-0.436053	-0.242529	0.969362	-0.0389494	-0.0494156	0.0931787	-0.0166873	-0.99551	-0.0396501	
0.066	-0.965703	-0.244893	-0.0862821	-0.436062	-0.24237	0.96941	-0.0387551	-0.0492749	0.0931335	-0.0165137	-0.995517	-0.0396596	
0.068	-0.965743	-0.244734	-0.086287	-0.436069	-0.242227	0.969452	-0.0385762	-0.0491455	0.0930921	-0.0163536	-0.995523	-0.0396683	
0.07	-0.965778	-0.244594	-0.08629	-0.436075	-0.242102	0.96949	-0.0384179	-0.0490316	0.0930541	-0.0162123	-0.995529	-0.0396767	
0.072	-0.965808	-0.244475	-0.0862896	-0.43608	-0.241995	0.969522	-0.0382789	-0.0489323	0.0930179	-0.0160884	-0.995534	-0.0396853	
0.074	-0.965835	-0.244372	-0.0862886	-0.436083	-0.241902	0.96955	-0.0381635	-0.048849	0.0929872	-0.0159863	-0.995539	-0.0396929	
0.076	-0.965855	-0.244291	-0.0862866	-0.436085	-0.24183	0.969572	-0.0380708	-0.0487827	0.0929614	-0.0159042	-0.995543	-0.0396994	
0.078	-0.965871	-0.244229	-0.0862814	-0.436085	-0.241775	0.969588	-0.0380023	-0.048733	0.0929387	-0.0158446	-0.995546	-0.0397055	
